product_id,name,description
P001,A100,
P002,A100 integrated circuits,
P003,A100X,
P004,A800,
P005,A800 offering,
P006,AGX system,
P007,AI,
P008,AI Skills Initiative,
P009,AI cognitive services,
P010,API,
P011,AWS,
P012,Ada Lovelace GPU architecture,
P013,Ada Lovelace architectures,
P014,"Advertising, Publishing, and Digital Content Subscriptions",
P015,Amazon Prime,
P016,App Store,
P017,Apple TV 4K,
P018,Apple Vision Pro,
P019,Apple Watch Series 9,
P020,Apple Watch Ultra 2,
P021,Azure,
P022,Azure AI,
P023,Azure AI platform,
P024,Azure IoT Edge,
P025,Azure Orbital,
P026,Azure Space & Missions Engineering,
P027,Battery Energy Storage,
P028,Benefits for Employees,
P029,Bing,
P030,Bing Chat,
P031,Bluefield DPU,
P032,CMP products,
P033,CUDA parallel programming model,
P034,CUDA programming language,
P035,CUDA programming model,
P036,CUDA-X,
P037,Client Access Licenses,
P038,Cloud Services,
P039,Cloud infrastructure,
P040,Code of Conduct training,
P041,Compute & Networking,
P042,"Compute, Storage, and Database Offerings",
P043,Consumer Products,
P044,DGX Cloud,
P045,DGX systems,
P046,DRIVE,
P047,DRIVE AGX,
P048,DRIVE Hyperion,
P049,DRIVE Software,
P050,Daily Signals employee survey,
P051,Data Center products,
P052,Device Management,
P053,Devices,
P054,Dynamics,
P055,Dynamics 365,
P056,Dynamics business solutions,
P057,EGX system,
P058,Earth-2,
P059,Electric Vehicle Charging Ports,
P060,Electronic Devices,
P061,Employee Resource Groups,
P062,Employee Signals surveys,
P063,Employee Stock Purchase Plan,
P064,Employee stock purchase program,
P065,Energy Storage,
P066,Enterprise Agreements,
P067,Enterprise Mobility + Security,
P068,Enterprise Services,
P069,Ethernet network adapters,
P070,European Marketplace for Sellers,
P071,Fire Victim Trust,
P072,GPU,
P073,GPUs,
P074,Gaming,
P075,Gaming products,
P076,GeForce GPUs,
P077,GeForce GTX,
P078,GeForce NOW,
P079,GeForce NOW Ultimate membership tier,
P080,GeForce RTX,
P081,GeForce RTX 40 Series,
P082,GeForce RTX 4090,
P083,GeForce platform,
P084,GitHub,
P085,GitHub Copilot,
P086,Global Impact Report,
P087,Grace CPU,
P088,Graphics,
P089,H100,
P090,H100 GPU,
P091,H100 integrated circuits,
P092,HGX system,
P093,Hardware,
P094,Hardware and Software Products and Services,
P095,HoloLens,
P096,HomePod,
P097,Hybrid Workplace Flexibility Guidance,
P098,IGX system,
P099,Identity and Network Access,
P100,InfiniBand,
P101,IoT,
P102,Justice Reform Initiative,
P103,LinkedIn,
P104,LinkedIn learning pathway,
P105,LinkedIn subscriptions,
P106,MLS Season Pass,
P107,Mac,
P108,Mac Pro,
P109,Mac Studio,
P110,Mac mini,
P111,"MacBook Air 15""",
P112,"MacBook Pro 14""",
P113,"MacBook Pro 16""",
P114,Marketing Solutions,
P115,Media Content,
P116,Microsoft 365,
P117,Microsoft 365 Consumer,
P118,Microsoft 365 Copilot,
P119,Microsoft Account services,
P120,Microsoft Advertising,
P121,Microsoft CARES Employee Assistance Program,
P122,Microsoft Cloud for Sustainability,
P123,Microsoft Consulting Services,
P124,Microsoft Defender for Endpoint,
P125,Microsoft Dynamics Business Solutions,
P126,Microsoft Edge,
P127,Microsoft Fabric,
P128,Microsoft Intelligent Data Platform,
P129,Microsoft Mesh,
P130,Microsoft News,
P131,Microsoft Power Platform,
P132,Microsoft Security,
P133,Microsoft Store,
P134,Microsoft Teams,
P135,Microsoft Viva,
P136,NGC,
P137,NVIDIA AI Enterprise,
P138,NVIDIA AI cloud services,
P139,NVIDIA Ampere architecture RTX GPUs,
P140,NVIDIA Ampere architectures,
P141,NVIDIA DGX AI supercomputer,
P142,NVIDIA DGX Cloud,
P143,NVIDIA DLSS 3,
P144,NVIDIA DRIVE,
P145,NVIDIA DRIVE Orin autonomous vehicle SOC,
P146,NVIDIA DRIVE Sim,
P147,NVIDIA DRIVE Thor,
P148,NVIDIA Omniverse,
P149,NVIDIA Omniverse Enterprise,
P150,NVIDIA RTX,
P151,NVIDIA RTX GPUs,
P152,NVIDIA computing platform,
P153,NVIDIA vGPU software,
P154,Nonprofit Tech Acceleration for Black and African American Communities,
P155,Nuance,
P156,Office,
P157,Office 365,
P158,Office Commercial,
P159,Office Consumer,
P160,Office products and cloud services,
P161,Omniverse,
P162,Omniverse Avatar Cloud Engine,
P163,Omniverse Cloud,
P164,Omniverse Enterprise software,
P165,Omniverse platform,
P166,On-Premises Software,
P167,OneDrive,
P168,Outlook.com,
P169,PC accessories,
P170,PCs,
P171,PayPal,
P172,Premium Subscriptions,
P173,Professional Visualization products,
P174,Quadro/NVIDIA RTX GPUs,
P175,RTX 4070 Ti desktop GPUs,
P176,RTX 4080,
P177,SDK,
P178,SHIELD,
P179,SOC,
P180,SQL Server,
P181,Sales Solutions,
P182,Search (including Microsoft Edge and Bing Chat),
P183,Search and news advertising,
P184,"Security, Data Protection, and Governance",
P185,Server,
P186,Server products and cloud services,
P187,"Server, database, CRM, ERP, software development tools and services",
P188,Services,
P189,SharePoint Online,
P190,Short-Term Incentive Plan,
P191,Skills for Jobs initiative,
P192,Skype,
P193,Software Assurance,
P194,Software Assurance (SA),
P195,Studio drivers,
P196,Surface,
P197,Surface Laptop,
P198,Surface Pro,
P199,Surface devices,
P200,Surface line of devices,
P201,System Center,
P202,Talent Solutions,
P203,"Technical, leadership, and employee training",
P204,Technology Education and Learning Support (TEALS) program,
P205,Technology and Research,
P206,U.S. Marketplace,
P207,Vehicle Electrification,
P208,Venmo,
P209,Visual Studio,
P210,"Wearables, Home and Accessories",
P211,Wildfire Fund Expense,
P212,Windows,
P213,Windows 11,
P214,Windows 365,
P215,Windows Commercial,
P216,Windows IoT,
P217,Windows OEM,
P218,Windows Server,
P219,Windows operating system,
P220,Windows operating systems,
P221,Windows post-delivery support,
P222,Xbox,
P223,Xbox Cloud Gaming,
P224,Xbox Game Pass,
P225,Xbox consoles,
P226,Xbox content and services,
P227,Xbox hardware,
P228,Xbox subscriptions,
P229,Xoom,
P230,accelerated computing platform,
P231,accessories,
P232,business solution applications,
P233,cloud services,
P234,consulting services,
P235,cross-device productivity and collaboration applications,
P236,deep learning,
P237,desktop and server management tools,
P238,digital content,
P239,e-commerce,
P240,gaming and entertainment consoles,
P241,hardware and systems,
P242,iOS 17,
P243,iPad,
P244,iPad Pro,
P245,iPadOS 17,
P246,iPhone,
P247,iPhone 15,
P248,iPhone 15 Plus,
P249,iPhone 15 Pro,
P250,iPhone 15 Pro Max,
P251,intelligent devices,
P252,macOS Sonoma,
P253,non-contributory defined benefit pension plan,
P254,online advertising,
P255,operating systems,
P256,payment card processing services,
P257,personal computers,
P258,postretirement health care and medical plans,
P259,postretirement life insurance plans,
P260,related accessories,
P261,server applications,
P262,server products,
P263,smartphones,
P264,software development tools,
P265,software licensing,
P266,solution support,
P267,support and extended warranty,
P268,tablets,
P269,tvOS 17,
P270,vGPU,
P271,video games,
P272,visionOS,
P273,watchOS 10,
P274,wearables,
